0,4,0,4
1,10,0,10
2,8,0,8
3,7,0,7
4,3,0,3
5,5,1,6
6,12,0,12
7,11,1,12
8,7,0,7
9,5,1,6
10,8,1,9
11,3,1,4
12,10,0,10
13,10,0,10
14,8,1,9
15,8,0,8
16,4,2,6
17,9,0,9
18,10,1,11
19,5,0,5
20,9,1,10
21,9,2,11
22,7,1,8
23,3,2,5
24,9,1,10
25,5,2,7
26,4,1,5
27,8,4,12
28,3,0,3
29,7,2,9
30,10,2,12
31,3,1,4
32,5,2,7
33,4,2,6
34,6,0,6
35,5,0,5
36,3,3,6
37,3,3,6
38,7,3,10
39,5,2,7
40,1,1,2
41,2,3,5
42,5,1,6
43,7,4,11
44,5,1,6
45,5,3,8
46,4,2,6
47,8,2,10
48,5,5,10
49,1,2,3
50,4,0,4
51,5,2,7
52,7,6,13
53,3,2,5
54,4,5,9
55,4,1,5
56,6,2,8
57,5,7,12
58,6,2,8
59,4,4,8
60,4,8,12
61,7,6,13
62,5,6,11
63,4,7,11
64,2,8,10
65,4,3,7
66,3,4,7
67,2,3,5
68,3,6,9
69,7,4,11
70,3,4,7
71,3,4,7
72,5,3,8
73,2,4,6
74,3,8,11
75,4,1,5
76,4,5,9
77,4,2,6
78,5,5,10
79,1,6,7
80,1,5,6
81,4,5,9
82,3,4,7
83,1,7,8
84,3,9,12
85,2,4,6
86,2,2,4
87,1,4,5
88,3,1,4
89,3,6,9
90,2,4,6
91,2,2,4
92,3,3,6
93,2,4,6
94,1,10,11
95,3,1,4
96,3,5,8
97,1,6,7
98,2,4,6
99,1,2,3
100,1,2,3
101,2,4,6
102,0,7,7
103,2,4,6
104,2,6,8
105,1,6,7
106,4,7,11
107,1,2,3
108,2,3,5
109,2,6,8
110,1,4,5
111,3,1,4
112,1,5,6
113,2,5,7
114,0,3,3
115,0,7,7
116,1,10,11
117,0,5,5
118,0,12,12
119,0,2,2
120,1,4,5
121,1,4,5
122,0,12,12
123,1,6,7
124,2,4,6
125,0,5,5
126,2,6,8
127,0,5,5
128,0,10,10
129,0,3,3
130,1,7,8
131,1,9,10
132,0,7,7
133,0,5,5
134,0,8,8
135,0,4,4
136,0,10,10
137,0,5,5
138,0,7,7
